城市	平均高温	平均低温	极端高温	极端低温
北京	29	18	35	14
上海	32	26	36	22
重庆	35	27	39	22
天津	31	23	33	20
福州	34	26	37	24
兰州	29	16	36	13
广州	33	26	36	24
西宁	34	26	37	23
贵阳	29	20	32	17
海口	33	26	35	24
石家庄	31	23	36	19
郑州	31	22	39	17
哈尔滨	25	17	31	12
武汉	36	25	38	20
长沙	36	28	38	23
南京	32	25	36	20
南昌	36	28	37	24
长春	25	18	30	14
沈阳	27	20	33	14
呼和浩特	26	14	31	9
银川	29	17	35	13
西宁	24	11	30	7
济南	30	22	33	8
太原	29	17	34	9
西安	31	21	37	15
成都	31	22	35	18
台北	30	26	33	24
合肥	33	24	38	19
澳门	32	26	34	24
拉萨	22	11	25	8
乌鲁木齐	30	20	37	15
香港	31	26	34	24
